pr_Pepp;pr_Code;pr_FaelleAnzahl;pr_FaelleAnteil;pr_NennungenAnzahl;pr_NennungenAnteil
P002A;9-671.10;75;0,8621;234;0,0622
P002A;9-671.30;71;0,8161;185;0,0492
P002A;9-671.00;61;0,7011;175;0,0465
P002A;9-983.2;61;0,7011;94;0,025
P002A;9-671.31;60;0,6897;118;0,0314
P002A;1-904;57;0,6552;94;0,025
P002A;9-671.21;52;0,5977;117;0,0311
P002A;9-671.22;52;0,5977;108;0,0287
P002A;9-671.23;52;0,5977;109;0,029
P002A;9-671.24;51;0,5862;101;0,0269
P002A;1-207.0;50;0,5747;61;0,0162
P002A;9-671.20;50;0,5747;133;0,0354
P002A;9-671.11;48;0,5517;113;0,03
P002A;9-671.32;48;0,5517;84;0,0223
P002A;9-690.1;42;0,4828;151;0,0401
P002A;9-671.25;41;0,4713;70;0,0186
P002A;9-670.30;39;0,4483;88;0,0234
P002A;9-671.40;38;0,4368;86;0,0229
P002A;9-671.26;37;0,4253;66;0,0175
P002A;9-983.1;37;0,4253;62;0,0165
P002A;9-670.20;36;0,4138;87;0,0231
P002A;9-670.22;34;0,3908;58;0,0154
P002A;9-670.31;34;0,3908;57;0,0152
P002A;9-671.01;33;0,3793;61;0,0162
P002A;9-670.23;32;0,3678;51;0,0136
P002A;3-800;30;0,3448;31;0,0082
P002A;9-670.24;30;0,3448;50;0,0133
P002A;9-671.12;30;0,3448;57;0,0152
P002A;9-670.21;26;0,2989;54;0,0144
P002A;9-664.0;25;0,2874;59;0,0157
P002A;9-983.0;25;0,2874;29;0,0077
P002A;9-664.1;24;0,2759;47;0,0125
P002A;9-670.32;24;0,2759;35;0,0093
P002A;9-670.26;20;0,2299;30;0,008
P002A;9-671.33;19;0,2184;27;0,0072
P002A;9-670.25;18;0,2069;25;0,0066
P002A;9-671.41;18;0,2069;35;0,0093
P002A;9-671.42;17;0,1954;26;0,0069
P002A;9-665.w;16;0,1839;35;0,0093
P002A;9-671.13;16;0,1839;31;0,0082
P002A;9-671.34;16;0,1839;26;0,0069
P002A;9-670.40;15;0,1724;23;0,0061
P002A;9-670.33;14;0,1609;19;0,0051
P002A;9-671.50;13;0,1494;22;0,0058
P002A;9-664.2;12;0,1379;17;0,0045
P002A;9-671.43;12;0,1379;25;0,0066
P002A;9-654.0;10;0,1149;24;0,0064
P002A;9-671.02;10;0,1149;12;0,0032
P002A;9-664.3;9;0,1034;12;0,0032
P002A;9-654.1;8;0,092;19;0,0051
P002A;9-665.5;8;0,092;9;0,0024
P002A;9-665.8;8;0,092;9;0,0024
P002A;9-670.34;8;0,092;9;0,0024
P002A;9-690.0;8;0,092;11;0,0029
P002A;9-665.7;7;0,0805;10;0,0027
P002A;9-665.9;7;0,0805;10;0,0027
P002A;9-665.a;7;0,0805;10;0,0027
P002A;9-665.f;7;0,0805;8;0,0021
P002A;9-655.1;6;0,069;7;0,0019
P002A;9-665.6;6;0,069;7;0,0019
P002A;9-671.44;6;0,069;9;0,0024
P002A;9-671.51;6;0,069;10;0,0027
P002A;9-671.52;6;0,069;7;0,0019
P002A;9-654.2;5;0,0575;7;0,0019
P002A;9-665.0;5;0,0575;12;0,0032
P002A;9-665.1;5;0,0575;14;0,0037
P002A;9-665.b;5;0,0575;7;0,0019
P002A;9-671.45;5;0,0575;8;0,0021
P002A;9-665.2;4;0,046;7;0,0019
P002A;9-665.4;4;0,046;9;0,0024
P002A;9-665.e;4;0,046;7;0,0019
P002A;9-665.g;4;0,046;4;0,0011
P002A;9-670.41;4;0,046;7;0,0019
P002A;9-670.42;4;0,046;6;0,0016
P002A;9-671.36;4;0,046;8;0,0021
P002A;9-671.46;4;0,046;4;0,0011
P002B;9-671.00;99;0,7615;249;0,0593
P002B;9-671.10;92;0,7077;212;0,0505
P002B;9-983.2;90;0,6923;369;0,0879
P002B;9-671.20;88;0,6769;213;0,0507
P002B;9-671.30;84;0,6462;141;0,0336
P002B;9-671.21;68;0,5231;128;0,0305
P002B;9-671.22;64;0,4923;102;0,0243
P002B;9-670.20;57;0,4385;131;0,0312
P002B;9-671.01;56;0,4308;142;0,0338
P002B;9-671.11;54;0,4154;113;0,0269
P002B;1-207.0;48;0,3692;56;0,0133
P002B;1-904;44;0,3385;60;0,0143
P002B;9-671.40;43;0,3308;71;0,0169
P002B;9-983.0;43;0,3308;52;0,0124
P002B;9-983.1;43;0,3308;149;0,0355
P002B;9-671.31;40;0,3077;51;0,0121
P002B;9-670.30;39;0,30;70;0,0167
P002B;9-670.21;38;0,2923;74;0,0176
P002B;9-671.12;37;0,2846;79;0,0188
P002B;9-671.23;35;0,2692;51;0,0121
P002B;9-664.0;33;0,2538;87;0,0207
P002B;9-664.1;33;0,2538;102;0,0243
P002B;9-671.02;33;0,2538;64;0,0152
P002B;9-671.13;33;0,2538;82;0,0195
P002B;9-670.31;29;0,2231;45;0,0107
P002B;9-671.24;29;0,2231;34;0,0081
P002B;9-690.1;26;0,20;79;0,0188
P002B;9-664.2;23;0,1769;38;0,009
P002B;9-670.22;23;0,1769;32;0,0076
P002B;9-671.14;23;0,1769;44;0,0105
P002B;9-654.1;19;0,1462;61;0,0145
P002B;9-670.32;19;0,1462;37;0,0088
P002B;3-800;18;0,1385;18;0,0043
P002B;9-671.50;18;0,1385;21;0,005
P002B;9-654.0;17;0,1308;36;0,0086
P002B;9-671.32;17;0,1308;21;0,005
P002B;9-670.24;16;0,1231;24;0,0057
P002B;9-670.40;16;0,1231;22;0,0052
P002B;9-671.03;15;0,1154;19;0,0045
P002B;9-654.2;14;0,1077;27;0,0064
P002B;9-665.1;14;0,1077;21;0,005
P002B;9-665.2;14;0,1077;21;0,005
P002B;9-671.25;14;0,1077;14;0,0033
P002B;9-671.41;14;0,1077;18;0,0043
P002B;9-664.3;13;0,10;22;0,0052
P002B;9-665.7;13;0,10;18;0,0043
P002B;9-665.8;13;0,10;16;0,0038
P002B;9-670.23;13;0,10;19;0,0045
P002B;9-671.15;13;0,10;23;0,0055
P002B;9-665.0;12;0,0923;17;0,004
P002B;9-671.33;12;0,0923;14;0,0033
P002B;9-665.5;11;0,0846;13;0,0031
P002B;9-671.42;11;0,0846;12;0,0029
P002B;9-665.6;10;0,0769;17;0,004
P002B;9-665.9;10;0,0769;15;0,0036
P002B;9-670.41;10;0,0769;15;0,0036
P002B;9-654.3;9;0,0692;11;0,0026
P002B;9-665.3;9;0,0692;19;0,0045
P002B;9-665.4;9;0,0692;16;0,0038
P002B;9-671.26;9;0,0692;10;0,0024
P002B;9-655.1;8;0,0615;9;0,0021
P002B;9-655.2;8;0,0615;10;0,0024
P002B;9-665.a;8;0,0615;11;0,0026
P002B;9-665.b;8;0,0615;16;0,0038
P002B;9-665.w;8;0,0615;23;0,0055
P002B;9-670.33;8;0,0615;10;0,0024
P002B;9-690.0;8;0,0615;25;0,006
P002B;9-655.5;7;0,0538;9;0,0021
P002B;9-655.7;7;0,0538;7;0,0017
P002B;9-655.9;7;0,0538;12;0,0029
P002B;9-655.a;7;0,0538;12;0,0029
P002B;9-664.4;7;0,0538;9;0,0021
P002B;9-670.42;7;0,0538;12;0,0029
P002B;9-671.04;7;0,0538;10;0,0024
P002B;9-655.0;6;0,0462;7;0,0017
P002B;9-655.3;6;0,0462;10;0,0024
P002B;9-655.b;6;0,0462;11;0,0026
P002B;9-665.c;6;0,0462;7;0,0017
P002B;9-665.e;6;0,0462;8;0,0019
P002B;9-665.k;6;0,0462;8;0,0019
P002B;9-670.26;6;0,0462;6;0,0014
P002B;9-671.43;6;0,0462;6;0,0014
P002B;9-654.4;5;0,0385;7;0,0017
P002B;9-655.6;5;0,0385;6;0,0014
P002B;9-655.8;5;0,0385;6;0,0014
P002B;9-655.c;5;0,0385;7;0,0017
P002B;9-655.d;5;0,0385;9;0,0021
P002B;9-655.f;5;0,0385;6;0,0014
P002B;9-665.h;5;0,0385;5;0,0012
P002B;9-665.p;5;0,0385;5;0,0012
P002B;9-665.r;5;0,0385;6;0,0014
P002B;9-665.t;5;0,0385;5;0,0012
P002B;9-665.u;5;0,0385;8;0,0019
P002B;9-670.25;5;0,0385;7;0,0017
P002B;9-670.43;5;0,0385;9;0,0021
P002B;9-671.51;5;0,0385;6;0,0014
P002B;9-655.j;4;0,0308;5;0,0012
P002B;9-655.k;4;0,0308;6;0,0014
P002B;9-655.w;4;0,0308;8;0,0019
P002B;9-664.5;4;0,0308;4;0,001
P002B;9-665.d;4;0,0308;4;0,001
P002B;9-665.n;4;0,0308;4;0,001
P002B;9-665.s;4;0,0308;5;0,0012
P002B;9-665.v;4;0,0308;8;0,0019
P003A;9-640.03;125;0,969;2159;0,2908
P003A;9-640.01;123;0,9535;957;0,1289
P003A;9-640.02;122;0,9457;1092;0,1471
P003A;9-980.1;94;0,7287;184;0,0248
P003A;9-640.00;87;0,6744;409;0,0551
P003A;9-615.20;56;0,4341;156;0,021
P003A;9-615.10;52;0,4031;138;0,0186
P003A;9-606.0;51;0,3953;148;0,0199
P003A;9-980.0;49;0,3798;98;0,0132
P003A;9-605.0;45;0,3488;108;0,0145
P003A;9-614.20;45;0,3488;130;0,0175
P003A;9-615.21;44;0,3411;83;0,0112
P003A;9-606.1;40;0,3101;97;0,0131
P003A;9-615.0;39;0,3023;133;0,0179
P003A;9-614.10;38;0,2946;120;0,0162
P003A;9-614.21;38;0,2946;86;0,0116
P003A;9-614.0;35;0,2713;68;0,0092
P003A;9-982.1;33;0,2558;61;0,0082
P003A;9-604;29;0,2248;72;0,0097
P003A;9-615.22;27;0,2093;49;0,0066
P003A;1-207.0;25;0,1938;33;0,0044
P003A;3-200;23;0,1783;31;0,0042
P003A;1-903;22;0,1705;25;0,0034
P003A;9-614.22;22;0,1705;33;0,0044
P003A;9-614.11;21;0,1628;35;0,0047
P003A;9-606.2;19;0,1473;35;0,0047
P003A;9-606.3;19;0,1473;34;0,0046
P003A;9-615.11;19;0,1473;25;0,0034
P003A;9-615.23;19;0,1473;30;0,004
P003A;9-615.25;19;0,1473;23;0,0031
P003A;9-614.23;17;0,1318;28;0,0038
P003A;9-614.24;17;0,1318;22;0,003
P003A;9-605.1;15;0,1163;32;0,0043
P003A;9-606.4;14;0,1085;19;0,0026
P003A;9-615.29;13;0,1008;16;0,0022
P003A;9-615.26;12;0,093;16;0,0022
P003A;9-605.2;11;0,0853;21;0,0028
P003A;9-615.27;11;0,0853;19;0,0026
P003A;9-641.1;11;0,0853;34;0,0046
P003A;9-615.24;10;0,0775;13;0,0018
P003A;9-615.2a;10;0,0775;14;0,0019
P003A;9-982.0;10;0,0775;12;0,0016
P003A;9-615.12;9;0,0698;13;0,0018
P003A;9-615.28;9;0,0698;12;0,0016
P003A;9-616.0;9;0,0698;21;0,0028
P003A;9-616.20;9;0,0698;19;0,0026
P003A;9-615.2b;8;0,062;13;0,0018
P003A;9-616.21;8;0,062;12;0,0016
P003A;9-640.11;8;0,062;32;0,0043
P003A;3-820;7;0,0543;7;0,0009
P003A;9-606.5;7;0,0543;7;0,0009
P003A;9-614.25;7;0,0543;9;0,0012
P003A;9-614.27;7;0,0543;8;0,0011
P003A;9-615.13;7;0,0543;7;0,0009
P003A;9-615.2c;7;0,0543;9;0,0012
P003A;9-616.10;7;0,0543;24;0,0032
P003A;9-640.10;7;0,0543;9;0,0012
P003A;9-615.2d;6;0,0465;8;0,0011
P003A;9-615.2r;6;0,0465;12;0,0016
P003A;1-204.2;5;0,0388;5;0,0007
P003A;3-800;5;0,0388;5;0,0007
P003A;9-605.3;5;0,0388;6;0,0008
P003A;9-606.6;5;0,0388;6;0,0008
P003A;9-614.12;5;0,0388;6;0,0008
P003A;9-615.2e;5;0,0388;5;0,0007
P003A;9-615.2k;5;0,0388;7;0,0009
P003A;1-220.0;4;0,031;5;0,0007
P003A;9-606.7;4;0,031;4;0,0005
P003A;9-614.2c;4;0,031;4;0,0005
P003A;9-614.2r;4;0,031;12;0,0016
P003A;9-615.2f;4;0,031;4;0,0005
P003A;9-616.22;4;0,031;6;0,0008
P003A;9-616.24;4;0,031;4;0,0005
P003A;9-980.3;4;0,031;4;0,0005
P003A;9-981.0;4;0,031;6;0,0008
P003A;9-981.1;4;0,031;7;0,0009
P003B;9-640.03;180;0,9524;1097;0,182
P003B;9-640.01;169;0,8942;804;0,1334
P003B;9-640.02;164;0,8677;622;0,1032
P003B;9-980.1;123;0,6508;224;0,0372
P003B;9-640.00;119;0,6296;355;0,0589
P003B;9-980.0;90;0,4762;147;0,0244
P003B;9-615.20;74;0,3915;158;0,0262
P003B;9-606.0;71;0,3757;173;0,0287
P003B;9-606.1;62;0,328;130;0,0216
P003B;9-614.20;61;0,3228;123;0,0204
P003B;9-615.10;60;0,3175;114;0,0189
P003B;9-982.1;57;0,3016;82;0,0136
P003B;9-605.0;54;0,2857;124;0,0206
P003B;9-615.0;52;0,2751;112;0,0186
P003B;9-614.0;46;0,2434;88;0,0146
P003B;9-614.10;46;0,2434;106;0,0176
P003B;9-615.21;42;0,2222;57;0,0095
P003B;9-604;39;0,2063;64;0,0106
P003B;9-614.21;38;0,2011;56;0,0093
P003B;9-606.2;36;0,1905;67;0,0111
P003B;3-200;35;0,1852;44;0,0073
P003B;1-207.0;34;0,1799;48;0,008
P003B;9-614.22;32;0,1693;54;0,009
P003B;9-615.11;32;0,1693;39;0,0065
P003B;9-615.22;31;0,164;41;0,0068
P003B;9-606.3;30;0,1587;44;0,0073
P003B;1-903;28;0,1481;29;0,0048
P003B;9-605.1;27;0,1429;63;0,0105
P003B;9-982.0;20;0,1058;29;0,0048
P003B;9-615.23;19;0,1005;25;0,0041
P003B;9-616.20;19;0,1005;36;0,006
P003B;9-614.23;18;0,0952;24;0,004
P003B;9-606.4;16;0,0847;26;0,0043
P003B;9-614.11;16;0,0847;27;0,0045
P003B;9-605.2;15;0,0794;29;0,0048
P003B;9-616.10;15;0,0794;19;0,0032
P003B;9-615.2a;14;0,0741;18;0,003
P003B;9-616.0;14;0,0741;35;0,0058
P003B;9-614.24;13;0,0688;19;0,0032
P003B;9-614.12;12;0,0635;22;0,0037
P003B;9-641.1;11;0,0582;68;0,0113
P003B;9-615.12;10;0,0529;14;0,0023
P003B;9-615.24;10;0,0529;15;0,0025
P003B;3-800;9;0,0476;10;0,0017
P003B;9-606.5;9;0,0476;15;0,0025
P003B;9-615.28;9;0,0476;11;0,0018
P003B;9-615.29;9;0,0476;12;0,002
P003B;9-616.21;9;0,0476;13;0,0022
P003B;9-605.3;8;0,0423;17;0,0028
P003B;9-614.25;8;0,0423;13;0,0022
P003B;9-615.25;8;0,0423;16;0,0027
P003B;9-615.26;8;0,0423;8;0,0013
P003B;9-615.2c;8;0,0423;10;0,0017
P003B;9-615.2r;8;0,0423;12;0,002
P003B;9-606.7;7;0,037;10;0,0017
P003B;9-615.2b;7;0,037;9;0,0015
P003B;9-616.11;7;0,037;8;0,0013
P003B;9-640.11;7;0,037;14;0,0023
P003B;9-981.1;7;0,037;13;0,0022
P003B;8-630.2;6;0,0317;6;0,001
P003B;9-606.6;6;0,0317;6;0,001
P003B;9-614.26;6;0,0317;7;0,0012
P003B;9-615.27;6;0,0317;8;0,0013
P003B;3-820;5;0,0265;5;0,0008
P003B;3-990;5;0,0265;8;0,0013
P003B;9-614.29;5;0,0265;6;0,001
P003B;9-615.13;5;0,0265;5;0,0008
P003B;9-616.22;5;0,0265;6;0,001
P003B;9-640.10;5;0,0265;12;0,002
P003B;1-204.2;4;0,0212;4;0,0007
P003B;9-606.8;4;0,0212;5;0,0008
P003B;9-606.9;4;0,0212;5;0,0008
P003B;9-606.a;4;0,0212;5;0,0008
P003B;9-614.28;4;0,0212;6;0,001
P003B;9-614.2d;4;0,0212;5;0,0008
P003B;9-614.2r;4;0,0212;9;0,0015
P003B;9-615.14;4;0,0212;6;0,001
P003B;9-615.2e;4;0,0212;4;0,0007
P003B;9-640.12;4;0,0212;8;0,0013
P003B;9-642;4;0,0212;34;0,0056
P003B;9-981.0;4;0,0212;7;0,0012
P003C;9-640.01;331;0,8213;1129;0,1211
P003C;9-640.03;322;0,799;1024;0,1098
P003C;9-640.02;267;0,6625;606;0,065
P003C;9-980.1;247;0,6129;365;0,0391
P003C;9-640.00;237;0,5881;1564;0,1677
P003C;9-980.0;181;0,4491;281;0,0301
P003C;9-615.20;155;0,3846;269;0,0289
P003C;9-606.0;145;0,3598;297;0,0319
P003C;9-982.1;127;0,3151;176;0,0189
P003C;9-614.20;126;0,3127;254;0,0272
P003C;9-605.0;108;0,268;229;0,0246
P003C;9-614.10;103;0,2556;211;0,0226
P003C;9-615.10;102;0,2531;168;0,018
P003C;9-615.0;100;0,2481;170;0,0182
P003C;9-606.1;97;0,2407;161;0,0173
P003C;9-604;85;0,2109;124;0,0133
P003C;9-614.21;84;0,2084;157;0,0168
P003C;9-615.21;84;0,2084;122;0,0131
P003C;1-903;77;0,1911;80;0,0086
P003C;9-614.0;71;0,1762;110;0,0118
P003C;1-207.0;64;0,1588;73;0,0078
P003C;3-200;63;0,1563;75;0,008
P003C;9-606.2;61;0,1514;91;0,0098
P003C;9-614.22;54;0,134;84;0,009
P003C;9-615.22;49;0,1216;60;0,0064
P003C;9-606.3;43;0,1067;58;0,0062
P003C;9-615.11;40;0,0993;43;0,0046
P003C;9-982.0;40;0,0993;50;0,0054
P003C;9-614.11;37;0,0918;49;0,0053
P003C;9-605.1;35;0,0868;56;0,006
P003C;9-614.23;27;0,067;39;0,0042
P003C;9-615.24;27;0,067;32;0,0034
P003C;9-616.10;26;0,0645;37;0,004
P003C;9-981.1;26;0,0645;35;0,0038
P003C;9-615.23;25;0,062;32;0,0034
P003C;3-800;22;0,0546;22;0,0024
P003C;9-615.25;22;0,0546;27;0,0029
P003C;9-614.24;21;0,0521;32;0,0034
P003C;9-616.20;21;0,0521;25;0,0027
P003C;9-606.4;20;0,0496;21;0,0023
P003C;9-641.1;20;0,0496;87;0,0093
P003C;9-615.26;18;0,0447;21;0,0023
P003C;9-615.28;17;0,0422;17;0,0018
P003C;9-616.0;17;0,0422;19;0,002
P003C;9-614.26;16;0,0397;16;0,0017
P003C;9-640.11;16;0,0397;87;0,0093
P003C;9-615.12;14;0,0347;14;0,0015
P003C;9-605.2;13;0,0323;19;0,002
P003C;9-615.29;13;0,0323;13;0,0014
P003C;9-615.2r;13;0,0323;15;0,0016
P003C;9-606.5;12;0,0298;17;0,0018
P003C;9-614.12;12;0,0298;13;0,0014
P003C;3-820;11;0,0273;11;0,0012
P003C;9-615.27;10;0,0248;14;0,0015
P003C;9-640.10;10;0,0248;21;0,0023
P003C;9-642;10;0,0248;39;0,0042
P003C;3-990;9;0,0223;9;0,001
P003C;9-606.6;9;0,0223;9;0,001
P003C;9-616.22;9;0,0223;11;0,0012
P003C;9-200.1;8;0,0199;8;0,0009
P003C;9-614.25;8;0,0199;11;0,0012
P003C;9-614.2a;8;0,0199;8;0,0009
P003C;9-615.2a;8;0,0199;9;0,001
P003C;9-616.11;8;0,0199;9;0,001
P003C;9-616.21;8;0,0199;11;0,0012
P003C;9-640.12;8;0,0199;26;0,0028
P003C;9-981.0;8;0,0199;9;0,001
P003C;9-606.8;7;0,0174;9;0,001
P003C;9-614.28;7;0,0174;7;0,0008
P003C;9-615.2c;7;0,0174;9;0,001
P003C;9-606.7;6;0,0149;7;0,0008
P003C;9-614.27;6;0,0149;6;0,0006
P003C;9-614.2b;6;0,0149;6;0,0006
P003C;9-641.0;6;0,0149;11;0,0012
P003C;9-614.2d;5;0,0124;5;0,0005
P003C;9-615.2b;5;0,0124;8;0,0009
P003C;9-616.24;5;0,0124;6;0,0006
P003C;1-204.2;4;0,0099;4;0,0004
P003C;1-220.0;4;0,0099;4;0,0004
P003C;1-632;4;0,0099;5;0,0005
P003C;3-993;4;0,0099;4;0,0004
P003C;8-630.2;4;0,0099;5;0,0005
P003C;8-630.3;4;0,0099;64;0,0069
P003C;9-614.29;4;0,0099;5;0,0005
P003C;9-614.2r;4;0,0099;6;0,0006
P003C;9-615.2f;4;0,0099;5;0,0005
P003C;9-616.23;4;0,0099;4;0,0004
P003C;9-616.25;4;0,0099;5;0,0005
P003C;9-616.26;4;0,0099;4;0,0004
P003C;9-980.3;4;0,0099;6;0,0006
P003C;9-982.3;4;0,0099;4;0,0004
P004Z;9-615.20;1689;0,512;3134;0,1252
P004Z;9-615.10;1527;0,4629;2616;0,1045
P004Z;9-980.1;1477;0,4477;1739;0,0695
P004Z;9-981.1;1290;0,391;1516;0,0606
P004Z;9-615.21;1148;0,348;1822;0,0728
P004Z;9-615.0;959;0,2907;1804;0,0721
P004Z;9-615.22;700;0,2122;1047;0,0418
P004Z;9-980.0;583;0,1767;706;0,0282
P004Z;9-615.23;483;0,1464;642;0,0257
P004Z;9-615.11;469;0,1422;649;0,0259
P004Z;9-982.1;461;0,1397;571;0,0228
P004Z;1-903;396;0,12;422;0,0169
P004Z;3-200;341;0,1034;378;0,0151
P004Z;1-207.0;319;0,0967;345;0,0138
P004Z;9-640.01;308;0,0934;482;0,0193
P004Z;9-604;304;0,0921;342;0,0137
P004Z;9-640.00;301;0,0912;555;0,0222
P004Z;9-615.24;280;0,0849;362;0,0145
P004Z;9-606.0;218;0,0661;258;0,0103
P004Z;9-616.20;212;0,0643;368;0,0147
P004Z;9-981.0;207;0,0627;217;0,0087
P004Z;9-616.0;201;0,0609;279;0,0111
P004Z;9-615.25;189;0,0573;224;0,009
P004Z;9-616.10;176;0,0533;240;0,0096
P004Z;9-641.1;174;0,0527;414;0,0165
P004Z;9-982.0;164;0,0497;202;0,0081
P004Z;9-615.12;154;0,0467;185;0,0074
P004Z;9-614.20;145;0,044;161;0,0064
P004Z;9-614.0;137;0,0415;149;0,006
P004Z;9-641.0;136;0,0412;330;0,0132
P004Z;9-615.26;126;0,0382;152;0,0061
P004Z;9-605.0;124;0,0376;133;0,0053
P004Z;9-616.21;110;0,0333;152;0,0061
P004Z;9-640.02;110;0,0333;148;0,0059
P004Z;9-640.03;100;0,0303;136;0,0054
P004Z;9-615.27;82;0,0249;102;0,0041
P004Z;9-614.10;80;0,0242;89;0,0036
P004Z;3-800;77;0,0233;79;0,0032
P004Z;9-615.28;75;0,0227;91;0,0036
P004Z;9-615.29;70;0,0212;88;0,0035
P004Z;9-640.11;68;0,0206;106;0,0042
P004Z;9-616.22;59;0,0179;75;0,003
P004Z;9-615.13;54;0,0164;61;0,0024
P004Z;9-606.1;51;0,0155;53;0,0021
P004Z;9-640.10;45;0,0136;62;0,0025
P004Z;9-616.11;44;0,0133;62;0,0025
P004Z;9-615.2a;42;0,0127;48;0,0019
P004Z;3-820;41;0,0124;41;0,0016
P004Z;9-614.21;39;0,0118;46;0,0018
P004Z;3-990;38;0,0115;42;0,0017
P004Z;9-640.12;38;0,0115;59;0,0024
P004Z;9-615.2b;32;0,0097;44;0,0018
P004Z;9-615.2c;31;0,0094;36;0,0014
P004Z;9-980.3;24;0,0073;28;0,0011
P004Z;9-606.2;23;0,007;26;0,001
P004Z;9-616.23;23;0,007;27;0,0011
P004Z;9-615.14;21;0,0064;22;0,0009
P004Z;9-615.2r;18;0,0055;23;0,0009
P004Z;9-616.24;18;0,0055;21;0,0008
P004Z;9-614.22;17;0,0052;18;0,0007
P004Z;9-616.25;17;0,0052;19;0,0008
P004Z;1-204.2;16;0,0048;16;0,0006
P004Z;9-605.1;16;0,0048;17;0,0007
P004Z;9-616.12;16;0,0048;26;0,001
P004Z;9-614.23;15;0,0045;16;0,0006
P004Z;9-615.2d;15;0,0045;20;0,0008
P004Z;9-615.2g;13;0,0039;13;0,0005
P004Z;1-220.0;12;0,0036;13;0,0005
P004Z;3-993;12;0,0036;16;0,0006
P004Z;9-606.3;12;0,0036;12;0,0005
P004Z;9-616.26;12;0,0036;13;0,0005
P004Z;9-642;11;0,0033;51;0,002
P004Z;3-203;10;0,003;11;0,0004
P004Z;8-630.2;10;0,003;10;0,0004
P004Z;9-616.27;10;0,003;12;0,0005
P004Z;3-220;9;0,0027;11;0,0004
P004Z;9-616.28;9;0,0027;10;0,0004
P004Z;1-206;8;0,0024;8;0,0003
P004Z;1-632;8;0,0024;10;0,0004
P004Z;8-630.3;8;0,0024;85;0,0034
P004Z;9-605.2;8;0,0024;8;0,0003
P004Z;9-614.24;8;0,0024;8;0,0003
P004Z;9-616.29;8;0,0024;9;0,0004
P004Z;1-242;7;0,0021;7;0,0003
P004Z;3-994;7;0,0021;7;0,0003
P004Z;9-615.2e;7;0,0021;8;0,0003
P004Z;3-202;6;0,0018;6;0,0002
P004Z;9-614.11;6;0,0018;6;0,0002
P004Z;9-615.2h;6;0,0018;7;0,0003
P004Z;9-615.2m;6;0,0018;7;0,0003
P004Z;9-616.2a;6;0,0018;6;0,0002
P004Z;9-616.2r;6;0,0018;11;0,0004
P004Z;1-205;5;0,0015;5;0,0002
P004Z;1-610.1;5;0,0015;5;0,0002
P004Z;3-207;5;0,0015;5;0,0002
P004Z;8-171.0;5;0,0015;5;0,0002
P004Z;8-191.00;5;0,0015;5;0,0002
P004Z;9-615.15;5;0,0015;5;0,0002
P004Z;9-615.16;5;0,0015;5;0,0002
P004Z;9-615.2k;5;0,0015;6;0,0002
P004Z;9-615.2p;5;0,0015;5;0,0002
P004Z;9-616.13;5;0,0015;5;0,0002
P004Z;9-616.2f;5;0,0015;5;0,0002
P004Z;9-616.2g;5;0,0015;5;0,0002
P004Z;9-981.3;5;0,0015;5;0,0002
P004Z;9-982.3;5;0,0015;5;0,0002
P004Z;1-208.2;4;0,0012;5;0,0002
P004Z;3-225;4;0,0012;4;0,0002
P004Z;8-390.1;4;0,0012;4;0,0002
P004Z;9-200.5;4;0,0012;4;0,0002
P004Z;9-606.4;4;0,0012;4;0,0002
P004Z;9-606.6;4;0,0012;4;0,0002
P004Z;9-606.7;4;0,0012;5;0,0002
P004Z;9-615.2f;4;0,0012;4;0,0002
P004Z;9-616.14;4;0,0012;4;0,0002
PA01A;9-980.0;170;0,5724;254;0,1126
PA01A;9-980.1;161;0,5421;195;0,0865
PA01A;9-606.0;81;0,2727;143;0,0634
PA01A;9-614.20;76;0,2559;136;0,0603
PA01A;9-604;68;0,229;94;0,0417
PA01A;9-605.0;66;0,2222;97;0,043
PA01A;9-606.1;64;0,2155;102;0,0452
PA01A;1-903;63;0,2121;71;0,0315
PA01A;9-614.10;58;0,1953;96;0,0426
PA01A;9-614.0;47;0,1582;72;0,0319
PA01A;9-614.21;45;0,1515;76;0,0337
PA01A;9-606.2;44;0,1481;63;0,0279
PA01A;9-606.3;42;0,1414;59;0,0262
PA01A;1-207.0;41;0,138;44;0,0195
PA01A;9-640.00;37;0,1246;81;0,0359
PA01A;9-614.22;33;0,1111;45;0,02
PA01A;9-980.3;32;0,1077;35;0,0155
PA01A;3-200;28;0,0943;29;0,0129
PA01A;9-606.4;28;0,0943;40;0,0177
PA01A;9-606.5;20;0,0673;31;0,0137
PA01A;9-614.11;20;0,0673;23;0,0102
PA01A;9-615.20;20;0,0673;26;0,0115
PA01A;9-640.01;20;0,0673;41;0,0182
PA01A;9-614.23;18;0,0606;22;0,0098
PA01A;9-605.1;16;0,0539;20;0,0089
PA01A;9-641.1;16;0,0539;41;0,0182
PA01A;9-606.6;15;0,0505;16;0,0071
PA01A;9-614.24;15;0,0505;17;0,0075
PA01A;3-800;14;0,0471;14;0,0062
PA01A;9-615.0;13;0,0438;16;0,0071
PA01A;9-982.1;13;0,0438;14;0,0062
PA01A;9-640.02;12;0,0404;16;0,0071
PA01A;9-614.27;10;0,0337;12;0,0053
PA01A;9-982.0;10;0,0337;14;0,0062
PA01A;9-615.10;9;0,0303;11;0,0049
PA01A;9-615.21;9;0,0303;9;0,004
PA01A;9-606.8;8;0,0269;8;0,0035
